participant_id	bids_participant_id	session_id	pipeline_name	pipeline_version	pipeline_step	bids_session_id	status
01	sub-01	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
01	sub-01	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
01	sub-01	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
01	sub-01	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
02	sub-02	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
02	sub-02	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
02	sub-02	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
02	sub-02	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
03	sub-03	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
03	sub-03	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
03	sub-03	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
03	sub-03	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
04	sub-04	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
04	sub-04	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
04	sub-04	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
04	sub-04	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
05	sub-05	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
05	sub-05	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
05	sub-05	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
05	sub-05	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
06	sub-06	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
06	sub-06	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
06	sub-06	1	fslanat6071ants243	6.0.7.1	default	ses-1	FAIL
06	sub-06	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
07	sub-07	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
07	sub-07	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
07	sub-07	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
07	sub-07	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
08	sub-08	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
08	sub-08	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
08	sub-08	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
08	sub-08	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
09	sub-09	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
09	sub-09	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
09	sub-09	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
09	sub-09	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
10	sub-10	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
10	sub-10	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
10	sub-10	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
10	sub-10	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
11	sub-11	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
11	sub-11	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
11	sub-11	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
11	sub-11	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
12	sub-12	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
12	sub-12	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
12	sub-12	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
12	sub-12	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
13	sub-13	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
13	sub-13	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
13	sub-13	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
13	sub-13	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
14	sub-14	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
14	sub-14	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
14	sub-14	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
14	sub-14	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
15	sub-15	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
15	sub-15	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
15	sub-15	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
15	sub-15	1	samseg8001ants243	8.0.0.1	default	ses-1	SUCCESS
16	sub-16	1	freesurfer741ants243	7.4.1	default	ses-1	SUCCESS
16	sub-16	1	freesurfer8001ants243	8.0.0.1	default	ses-1	SUCCESS
16	sub-16	1	fslanat6071ants243	6.0.7.1	default	ses-1	SUCCESS
